index,published,keyword,domain,language,valid,title,description,url,image,archive,content,quote
4d0d6ff82297cc65fd3a8d827f749fdb,2025-10-05T09:32:42Z,'Orkan',www.zeit.de,de,0,"Herbstwetter: Orkanböen und Regen: Menschen verletzt, Straßen gesperrt","Hier finden Sie Informationen zu dem Thema „Herbstwetter“. Lesen Sie jetzt „Orkanböen und Regen: Menschen verletzt, Straßen gesperrt“.",https://www.zeit.de/news/2025-10/05/orkanboeen-und-regen-menschen-verletzt-strassen-gesperrt,https://img.zeit.de/news/2025-10/05/orkanboeen-und-regen-menschen-verletzt-strassen-gesperrt-image-group/wide__1300x731,,"Eine Sturmfront mit teils orkanartigen Böen ist am Wochenende über Baden-Württemberg hinweggefegt und hat Polizei, Feuerwehr und Rettungsdienst viele Einsätze beschert. Im Südschwarzwald wurden bei U… [+2479 chars]",
90ebdde86f6a1784625a9a184186c2c3,2025-10-05T11:28:39Z,'Orkan',www.bild.de,de,0,"Sturmflut, Nebel, Verletzte - Orkantief Detlef fegt über Deutschland!","Orkantief „Detlef“ bringt stürmisches Wetter, Regen und Nebel. Harz und Nordseeinseln betroffen. In Bayern fällt der erste Schnee",https://www.bild.de/news/orkantief-detlef-fegt-ueber-deutschland-sturmflut-und-schneeflocken-68e2106c89973cba61e81cd9,"https://images.bild.de/68e2106c89973cba61e81cd9/ff997bf102d5778e98b01861689ab8ba,30660f0e?w=1280",,"Windiger Herbst statt goldener Oktober! Orkantief Detlef hat am Wochenende große Teile des Landes fest im Griff mit Regen, Nebel und Sturmböen. Vom Brocken bis zum Schwarzwald fegt der Wind mit volle… [+4356 chars]",
ab3f202839e25907a6624659fe8490c4,2025-10-05T13:36:46Z,'Sturm',www.zeit.de,de,0,Wetter: Sturmtief fegt über Deutschland – Verletzte und Fährausfälle,Hier finden Sie Informationen zu dem Thema „Wetter“. Lesen Sie jetzt „Sturmtief fegt über Deutschland – Verletzte und Fährausfälle“.,https://www.zeit.de/news/2025-10/05/sturmtief-fegt-ueber-deutschland-verletzte-und-faehrausfaelle,https://img.zeit.de/news/2025-10/05/sturmtief-fegt-ueber-deutschland-verletzte-und-faehrausfaelle-image-group/wide__1300x731,,Ein Sturmtief ist über Deutschland hinweggefegt und hat in mehreren Bundesländern Schäden angerichtet. Mindestens zwei Menschen wurden verletzt. An der Nordseeküste gab es am Sonntag eine Sturmflut; … [+4455 chars],
5ad95cda11ebb74caf5c117d9992a2e8,2025-10-05T13:51:49Z,'Sturm Tote',www.n-tv.de,de,0,Behörden befürchten Todesopfer: Hunderte am Mount Everest durch Schneesturm eingeschlossen,Fast 1000 Menschen sitzen auf 4900 Metern Höhe fest. Am höchsten Berg der Erde läuft aktuell ein großangelegter Rettungseinsatz. Ein Schneesturm macht ein Verlassen von und Vordringen zu Bergsteigerlagern am Mount Everest unmöglich. Ob es inzwischen Tote gibt…,https://www.n-tv.de/panorama/Hunderte-am-Mount-Everest-durch-Schneesturm-eingeschlossen-article26075291.html,https://www.n-tv.de/img/incoming/crop26075299/6571326798-cImg_16_9-w1200/AP25148173966973.jpg,,Fast 1000 Menschen sitzen auf 4900 Metern Höhe fest. Am höchsten Berg der Erde läuft aktuell ein großangelegter Rettungseinsatz. Ein Schneesturm macht ein Verlassen von und Vordringen zu Bergsteigerl… [+1641 chars],
a61c190c8a01a150772efa269313802c,2025-10-06T02:01:52Z,'Sturm Tote',www.bild.de,de,0,Hunderte sitzen noch auf 4900 Metern fest - 350 Touristen vom Mount Everest gerettet,350 Touristen wurden bei einem Schneesturm am Mount Everest auf 4900 Metern gerettet. Aber noch Hunderte harren am Berg aus,https://www.bild.de/news/ausland/mount-everest-350-touristen-gerettet-hunderte-sitzen-noch-auf-4900-metern-fest-68e312cdc9fcb483178b8b19,"https://images.bild.de/68e312cdc9fcb483178b8b19/ad773dc33c2925749fb5957c87058829,de0bff93?w=1280",,Lhasa (Tibet) Rund 1000 Touristen sind am höchsten Berg der Welt auf 4900 Metern von einem Schneesturm eingeschlossen worden. Jetzt wurden laut einem Bericht vom chinesischen Staatsfernsehen mindeste… [+1771 chars],
1558db3d34cda2e51a57e3b3dd59f3fa,2025-10-08T08:30:19Z,'Tornado',t3n.de,de,0,Weltraum-Tornados: Wie ein Sonnensegel die Erde vor unsichtbaren Stürmen schützen soll,"Tornadoähnliche Stürme rasen von der Sonne auf uns zu. Oft bemerken wir sie erst, wenn es zu spät ist. Ein neues Konzept könnte das ändern und unsere Infrastruktur vor den unsichtbaren Gefahren schützen. Wissenschaftler:innen warnen schon länger vor den Folge…",https://t3n.de/news/weltraum-tornado-sonnensegel-swift-mission-warnung-1711121/,https://cdn.t3n.de/news/wp-content/uploads/2024/03/sonnensturm.jpg?class=content,,"Wissenschaftler:innen warnen schon länger vor den Folgen eines extremen Sonnensturms für unsere hochtechnologisierte Welt. Ein Treffer sorgt nicht nur für malerische Polarlichter, sondern kann auch S… [+4473 chars]",
62eaf692c657425ac64b0a9e6383130e,2025-10-08T14:54:26Z,'Tornado',www.focus.de,de,0,Plasma-Tornados bedrohen unsere Technologie: Raumschiffflotte soll Schutz bieten,Forscher der University of Michigan haben in einer aufwändigen Simulation eine neue Gefahr aus dem Weltraum entdeckt. Ein Schutzkonzept liefern sie gleich mit.,https://www.focus.de/wissen/plasma-tornados-bedrohen-unsere-technologie-raumschiffflotte-soll-schutz-bieten_b20a7bab-256c-4af0-82eb-b32f1d062d1f.html,https://quadro.burda-forward.de/ctf/88a5da10-84da-4036-8554-cdda391924b5.e5d531f6-13f3-44a4-9877-12c535893cec.jpg?im=RegionOfInterestCrop%3D%281200%2C630%29%2CregionOfInterest%3D%281296%2C611%29&hash=9b7cd9b053c126a930e3850e9266fc404da6b38b0ec3773d55a355d0d4fa6ff0,,"Ein Team der University of Michigan hat eine Studie veröffentlicht, die zeigt, wie tornado-artige Wirbel in Sonnenwinden das Erdmagnetfeld stören. Eine ganze Flotte von Raumschiffen soll dazu beitrag… [+3333 chars]",
055a6b41387034c11dcbc02a2c79b252,2025-10-10T13:26:44Z,'Tornado',www.n-tv.de,de,0,Tornados bei Verteidigungsübung: Bundeswehr schickt atomwaffenfähige Jets zu Nato-Manöver,Nach dem Wochenende beginnt im Westen von Europa eine Routine-Übung der Nato. Teilnehmen werden dabei auch Tornado-Kampfflugzeuge aus Deutschland. Geprobt wird der absolute Ernstfall.,https://www.n-tv.de/politik/Bundeswehr-schickt-atomwaffenfaehige-Jets-zu-Nato-Manoever-article26088605.html,https://www.n-tv.de/img/incoming/crop26088611/6771325061-cImg_16_9-w1200/447194881.jpg,,"Nach dem Wochenende beginnt im Westen von Europa eine Routine-Übung der Nato. Teilnehmen werden dabei auch Tornado-Kampfflugzeuge aus Deutschland. Geprobt wird der absolute Ernstfall.
Die deutsche L… [+3591 chars]",
d3f1b5947b41a7c6f4d393b86f442380,2025-10-11T20:31:28Z,'Tornado',www.bild.de,de,0,"Flüge gestrichen, Terminal unter Wasser - Airport auf Ibizia nach Unwetter überflutet",Unwetteralarm am Mittelmeer! Tief „Alice“ verursacht Starkregen und Überflutungen auf Ibiza und Mallorca. Flüge wurden gestrichen. Es drohen sogar Tornados!,https://www.bild.de/news/ausland/unwetter-in-spanien-airport-auf-ibiza-ueberflutet-fluege-gestrichen-68eab4020bda2290ccea83ea,"https://images.bild.de/68eab4020bda2290ccea83ea/61dbc8fde840c438542660d4686efe72,29c2da81?w=1280",,"Ibiza Unwetter-Alarm im westlichen Mittelmeer! Das Tief Alice trifft mit heftigen Stürmen, sintflutartigen Regenfällen auf die Küste Spaniens zwischen Valencia, Alicante und Murcia. Besonders schwer … [+2846 chars]",
56daa3b294f3ed8f1be456f6578005e2,2025-10-13T15:39:22Z,'Sturm',www.morgenpost.de,de,0,Wie ein Sturm entsteht – und wo er am stärksten wütet,"Wie entstehen Stürme, warum toben sie im Herbst besonders stark – und können Tornados auch Europa erreichen? Die Fakten im Überblick.",https://www.morgenpost.de/ratgeber-wissen/article410218252/wetter-wie-ein-sturm-entsteht-und-wo-er-am-staerksten-wuetet.html,https://img.sparknews.funkemedien.de/410151135/410151135_1760369961_v16_9_1600.jpeg,,"Ob Hurrikan, Taifun oder Orkan extreme Winde zählen zu den gewaltigsten Kräften der Natur. Überschreiten die Windgeschwindigkeiten 74 Kilometer pro Stunde, sprechen Meteorologinnen und Meteorologen v… [+8237 chars]",
