keyword,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
'Downburst',-0.7071067811865476,1.0,,1.0,1.0
'Orkan',0.16265407167693344,0.9729164129799955,-0.10545132340967664,0.6957067705785446,67.0
'Sturm Bäume',-0.13501406404980487,0.9889470755730823,-0.15770381552728702,0.6609806151870111,82.0
'Sturm Erwärmung',-0.5138432973413556,1.3284179678726267,0.7103879308855446,1.121444033409255,8.0
'Sturm Klimawandel',0.034485092361460766,1.0441767608710475,0.8318568468102848,1.2672095712533857,10.0
'Sturm Tote',-0.20121047746169035,0.8578811384479686,0.12272999496153958,1.1624456085185437,143.0
'Sturm Vorhersage',0.5503985124154765,1.1045565401590607,-0.30902019586965607,0.5626452049304588,24.0
'Sturm Windstärke',0.19738462928555842,0.7365555712994569,0.09191698678286198,0.9718264460288675,9.0
'Sturm',0.15925269842485906,1.034995746329052,0.06627100639276774,1.0731335617575544,10.0
'Tornado Erwärmung',0.4519391789034031,0.35408980273758844,0.7699104605491521,1.6072381064334267,6.0
'Tornado',0.11933904117092084,0.9672719268788665,-0.04324564901746726,0.9470359612401312,149.0
'Warnsystem Tornado',-0.261849351380313,0.6660808048335383,-0.5163674463581159,0.08608000475465763,6.0
